sd_s38,sd_s1000,sd_theta,sd_gamma,sd_beta,fd_totalEnergy,E_CIC,E_ML,err_CIC,err_ML
26.7,16.7,54.64,0.06,-1.8,5.724,5.073428968519161,4.981701502688196,-0.11365671409518509,-0.12968177800695388
10.88,11.96,25.58,0.03,-2.27,2.423,2.0583227425382193,2.1334058057908885,-0.15050650328591858,-0.11951885852625323
6.4,5.92,42.12,0.03,-2.0,1.323,1.2076417435200806,1.193038763774376,-0.08719444934234269,-0.09823222692790926
8.35,9.1,30.08,0.03,-2.21,1.457,1.577644740630035,1.5763092756499584,0.08280352822926206,0.08188694279338249
3.91,4.13,36.35,0.01,-2.08,0.966,0.7360187054521706,0.7752771836729251,-0.23807587427311527,-0.1974356276677794
21.79,23.73,29.89,0.01,-2.26,5.319,4.136339405129958,4.093354368346513,-0.22234641753525897,-0.230427830730116
14.27,9.6,53.93,0.09,-1.77,2.523,2.703238305896929,2.585976486737131,0.07143809191317035,0.02496095391879943
5.95,6.09,36.55,0.01,-2.1,1.275,1.1223293993899215,1.1420693216642372,-0.11974164753731642,-0.10425935555746092
19.38,21.22,33.67,0.0,-2.22,3.483,3.6767482435907537,3.9053287646612675,0.05562682847853965,0.12125431084159272
13.49,14.07,36.56,0.0,-2.15,2.93,2.5547769165022256,2.6265534723888377,-0.12806248583541793,-0.10356536778537966
9.42,8.46,45.04,0.07,-1.97,1.622,1.7808592594434152,1.8756936506409656,0.09794035724008326,0.15640792271329562
4.33,4.39,37.0,0.01,-2.07,0.84,0.815486139084236,0.8276675698021498,-0.029183167756861927,-0.014681464521250156
18.7,13.07,53.14,0.09,-1.82,3.441,3.547120187325675,3.5358410411660115,0.030839926569507466,0.027562057880270757
12.34,10.64,45.38,0.07,-1.98,3.285,2.335968830232814,2.260949552468705,-0.288898377402492,-0.3117352960521446
8.94,9.39,29.87,0.03,-2.21,1.142,1.6896828327633804,1.661806962602697,0.4795821652919269,0.4551724716310833
5.4,5.01,42.01,0.03,-1.99,0.835,1.0181018701165998,1.0249154035544177,0.21928367678634714,0.22744359707115896
6.18,6.83,33.71,0.02,-2.14,1.011,1.1659296898011011,1.2334850762063914,0.1532440057379834,0.22006436815666813
6.07,6.71,33.48,0.02,-2.15,1.097,1.1450763688733587,1.22005872687114,0.04382531346705447,0.112177508542516
